,Evento,Día,Donde,Ganador,Perdedor,Division,Metodo,Detalles,Round,Tiempo
0,UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Edmen Shahbazyan,AJ Dobson,Peso Medio,KO/TKO,Golpes,1.0,4:33
1,UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Payton Talbott,Cameron Saaiman,Peso Gallo,KO/TKO,Golpes,2.0,0:21
2,UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Youssef Zalal,Billy Quarantillo,Peso Pluma,SUB,Estrangulación Trasera,2.0,1:50
3,UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Fernando Padilla,Luis Pajuelo,Peso Pluma,SUB,Estrangulación D'Arce,1.0,2:45
4,UFC Fight Night: Ribas vs. Namajunas,3/23/2024,"Las Vegas, Nevada, USA",Julian Erosa,Ricardo Ramos,Peso Pluma,SUB,Estrangulación Guillotina,1.0,2:15
5,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Marcin Tybura,Tai Tuivasa,Peso Pesado,SUB,Estrangulación Trasera,1.0,4:08
6,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Macy Chiasson,Pannie Kianzad,Peso Gallo,SUB,Estrangulación Trasera,1.0,3:54
7,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Gerald Meerschaert,Bryan Barberena,Peso Medio,SUB,Estrangulación Trasera,2.0,4:23
8,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Mike Davis,Natan Levy,Peso Ligero,SUB,Triángulo de Brazo,2.0,1:43
9,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Jafel Filho,Ode Osbourne,Peso Mosca,SUB,Estrangulación Trasera,1.0,4:27
10,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Jaqueline Amorim,Cory McKenna,Peso Paja,SUB,Llave de Brazo,1.0,1:38
11,UFC Fight Night: Tuivasa vs. Tybura,3/16/2024,"Las Vegas, Nevada, USA",Thiago Moises,Mitch Ramirez,Peso Ligero,KO/TKO,Patada,3.0,0:15
12,UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Dustin Poirier,Benoit Saint Denis,Peso Ligero,KO/TKO,Puño,2.0,2:32
13,UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Jack Della Maddalena,Gilbert Burns,Peso Welter,KO/TKO,Codos,3.0,3:43
14,UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Curtis Blaydes,Jailton Almeida,Peso Pesado,KO/TKO,Golpes,2.0,0:36
15,UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Michel Pereira,Michal Oleksiejczuk,Peso Medio,SUB,Estrangulación Trasera,1.0,1:01
16,UFC 299: O'Malley vs. Vera 2,3/9/2024,"Miami, Florida, USA",Robelis Despaigne,Josh Parisian,Peso Pesado,KO/TKO,Puño,1.0,0:18
17,UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Steve Erceg,Matt Schnell,Peso Mosca,KO/TKO,Puño,2.0,0:26
18,UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Vinicius Oliveira,Benardo Sopaj,Peso Gallo,KO/TKO,Rodilla Voladora,3.0,4:41
19,UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Christian Leroy Duncan,Claudio Ribeiro,Peso Medio,KO/TKO,Golpes,2.0,1:57
20,UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Ludovit Klein,AJ Cunningham,Peso Ligero,KO/TKO,Patada,1.0,4:36
21,UFC Fight Night: Rozenstruik vs. Gaziev,3/2/2024,"Las Vegas, Nevada, USA",Loik Radzhabov,Abdul-Kareem Al-Selwady,Peso Ligero,KO/TKO,Puño,3.0,0:49
22,UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Brian Ortega,Yair Rodriguez,Peso Pluma,SUB,Triángulo de Brazo,3.0,0:58
23,UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Manuel Torres,Chris Duncan,Peso Ligero,SUB,Estrangulación Trasera,1.0,1:46
24,UFC Fight Night: Moreno vs. Royval 2,2/24/2024,"Mexico City, Distrito Federal, Mexico",Raoni Barcelos,Cristian Quinonez,Peso Gallo,SUB,Estrangulación Trasera,3.0,2:04
