,Nombre,Pais,Victorias,Derrotas,Altura,Peso,Alcance,Guardia,Edad,Golpes_min,Golpes_acer,Golpes_abs,Golpes_def,Derribos_med,Derribos_acer,Derribos_def,Sumision_int
0,Amanda Ribas,Brasil,12.0,5.0,160.02,56.7,167.64,Ortodoxo,30.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
1,Rose Namajunas,Estados Unidos,13.0,6.0,165.1,56.7,165.1,Ortodoxo,31.0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5
2,Justin Tafa,Nueva Zelanda,7.0,4.0,182.88,119.75,187.96,Zurdo,30.0,4.09,0.54,5.02,0.47,0.0,0.0,0.5,0.0
3,Edmen Shahbazyan,Estados Unidos,13.0,4.0,187.96,83.91,190.5,Ortodoxo,26.0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6
4,Payton Talbott,Estados Unidos,8.0,0.0,177.8,61.23,177.8,Ambidiestro,25.0,8.05,0.54,3.58,0.51,0.0,0.0,0.9,0.5
5,Cameron Saaiman,Sudáfrica,9.0,2.0,172.72,61.23,170.18,Zurdo,23.0,5.32,0.46,4.18,0.51,0.91,0.28,0.47,0.7
6,Billy Quarantillo,Estados Unidos,18.0,6.0,177.8,65.77,177.8,Ortodoxo,35.0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1
7,Youssef Zalal,Marruecos,14.0,5.0,177.8,65.77,182.88,Ambidiestro,27.0,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3
8,Fernando Padilla,México,16.0,5.0,185.42,65.77,193.04,Ortodoxo,27.0,6.48,0.42,5.25,0.53,0.0,0.0,1.0,0.8
9,Ricardo Ramos,Brasil,16.0,6.0,175.26,65.77,182.88,Ortodoxo,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7
10,Julian Erosa,Estados Unidos,29.0,12.0,185.42,65.77,187.96,Zurdo,34.0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8
11,Miles Johns,Estados Unidos,14.0,2.0,170.18,61.23,167.64,Ortodoxo,29.0,3.28,0.47,2.55,0.68,1.15,0.22,0.85,0.0
12,Montserrat Rendon,México,6.0,1.0,172.72,61.23,172.72,Ortodoxo,35.0,3.13,0.28,3.9,0.54,3.0,0.54,1.0,0.0
13,Mick Parkin,Australia,9.0,0.0,193.04,120.2,200.66,Ortodoxo,28.0,4.54,0.51,3.94,0.59,1.6,0.41,0.5,0.3
14,Tai Tuivasa,Polonia,15.0,7.0,187.96,119.75,190.5,Zurdo,31.0,3.96,0.49,5.05,0.43,0.0,0.0,0.57,0.0
15,Marcin Tybura,Estados Unidos,25.0,8.0,190.5,112.94,198.12,Ortodoxo,38.0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1
16,Ovince Saint Preux,Nigeria,27.0,17.0,190.5,92.99,203.2,Zurdo,40.0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5
17,Isaac Dulgarian,Suecia,6.0,1.0,170.18,65.77,180.34,Ortodoxo,27.0,2.88,0.58,2.53,0.39,6.06,0.47,0.0,1.5
18,Pannie Kianzad,Estados Unidos,17.0,8.0,170.18,61.23,167.64,Ortodoxo,32.0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1
