Luchador,Nacionalidad
Amanda Ribas,Brasileña
Rose Namajunas,EstadounidenseLituana
Karl Williams,missingvalue
Justin Tafa,Neozelandés
Edmen Shahbazyan,Estadounidense
AJ Dobson,missingvalue
Payton Talbott,Estadounidense
Cameron Saaiman,Sudafricano
Billy Quarantillo,Estadounidense
Youssef Zalal,Marroquí
Fernando Padilla,Mexicano
Luis Pajuelo,missingvalue
Kurt Holobaugh,missingvalue
Trey Ogden,missingvalue
Ricardo Ramos,Brasileña
Julian Erosa,Estadounidense
Miles Johns,Estadounidense
Cody Gibson,missingvalue
Jarno Errens,missingvalue
Steven Nguyen,missingvalue
Montserrat Rendon,Mexicana
Igor Severino,missingvalue
Andre Lima,missingvalue
Mohammed Usman,missingvalue
Mick Parkin,missingvalue
Tai Tuivasa,Australiano
Marcin Tybura,Polaca
Ovince Saint Preux,Estadounidense
Kennedy Nzechukwu,Nigeriana
Christian Rodriguez,missingvalue
Isaac Dulgarian,missingvalue
Pannie Kianzad,Sueca
Macy Chiasson,Estadounidense
Gerald Meerschaert,Estadounidense
Bryan Barberena,Estadounidense
Natan Levy,Israelí
Mike Davis,missingvalue
Josiane Nunes,missingvalue
Chelsea Chandler,Estadounidense
Jafel Filho,missingvalue
Ode Osbourne,missingvalue
Josh Culibao,missingvalue
Danny Silva,missingvalue
Jaqueline Amorim,missingvalue
Cory McKenna,Galesa
Thiago Moises,missingvalue
Mitch Ramirez,missingvalue
Charalampos Grigoriou,missingvalue
Chad Anheliger,missingvalue
Sean O'Malley,missingvalue
Marlon Vera,Ecuatoriana
Dustin Poirier,Estadounidense
Benoit Saint Denis,missingvalue
Kevin Holland,Estadounidense
Michael Page,Británico
Gilbert Burns,Brasileño
Jack Della Maddalena,Australiano
Petr Yan,Ruso
Song Yadong,China
Curtis Blaydes,Estadounidense
Jailton Almeida,Brasileño
Katlyn Cerminara,missingvalue
Maycee Barber,Estadounidense
Mateusz Gamrot,Polaca
Rafael Dos Anjos,missingvalue
Pedro Munhoz,Brasileño
Kyler Phillips,Estadounidense
Ion Cutelaba,missingvalue
Philipe Lins,Brasileña
Michel Pereira,Brasileña
Michal Oleksiejczuk,missingvalue
Robelis Despaigne,Cubano
Josh Parisian,Estadounidense
CJ Vergara,missingvalue
Asu Almabayev,missingvalue
Joanne Wood,Escocesa
Maryna Moroz,Ucraniana
Jairzinho Rozenstruik,Surinam Surinam
Shamil Gaziev,missingvalue
Vitor Petrino,Brasileño
Tyson Pedro,missingvalue
Alex Perez,missingvalue
Muhammad Mokaev,Ruso Británico
Umar Nurmagomedov,Rusa
Bekzat Almakhan,missingvalue
Matt Schnell,Estadounidense
Steve Erceg,Australiano
Eryk Anders,Filipina
Jamie Pickett,Estadounidense
Vinicius Oliveira,missingvalue
Benardo Sopaj,missingvalue
Aiemann Zahabi,Canadiense
Javid Basharat,AfganoBritánico
Christian Leroy Duncan,missingvalue
Claudio Ribeiro,missingvalue
Ludovit Klein,missingvalue
AJ Cunningham,missingvalue
Abdul-Kareem Al-Selwady,missingvalue
Loik Radzhabov,missingvalue
Brandon Moreno,Mexicano
Brandon Royval,Estadounidense
Yair Rodriguez,missingvalue
Brian Ortega,Estadounidense
Daniel Zellhuber,Mexicano
Francisco Prado,Argentino
Yazmin Jauregui,Mexicana
Sam Hughes,Estadounidense
Manuel Torres,missingvalue
Chris Duncan,missingvalue
Cristian Quinonez,missingvalue
Raoni Barcelos,Brasileña
Jesus Aguilar,missingvalue
Mateus Mendonca,missingvalue
Edgar Chairez,Mexicano
Daniel Lacerda,Brasileño
Claudio Puelles,Peruano
Fares Ziam,missingvalue
Ronaldo Rodriguez,missingvalue
Denys Bondar,missingvalue
Victor Altamirano,missingvalue
Felipe dos Santos,Brasileña
Erik Silva,missingvalue
Muhammad Naimov,Tayiko
Alexander Volkanovski,Australiano
Ilia Topuria,Española[2]​
Robert Whittaker,Estadounidense
Paulo Costa,Brasileño
Geoff Neal,Estadounidense
Ian Machado Garry,missingvalue
Merab Dvalishvili,Georgiana
Henry Cejudo,Estadounidense  Mexicana
Anthony Hernandez,Estadounidense
Roman Kopylov,Ruso
Amanda Lemos,Brasileña
Mackenzie Dern,Estadounidense
Marcos Rogerio de Lima,missingvalue
Junior Tafa,missingvalue
Rinya Nakamura,Japónes
Carlos Vera,missingvalue
Zhang Mingyang,missingvalue
Brendson Ribeiro,missingvalue
Josh Quinlan,missingvalue
Danny Barlow,missingvalue
Oban Elliott,missingvalue
Val Woodburn,missingvalue
Andrea Lee,Estadounidense
Miranda Maverick,Estadounidense
Jack Hermansson,Sueco Noruego
Joe Pyfer,Estadounidense
Dan Ige,Estadounidense
Andre Fili,Estadounidense
Robert Bryczek,missingvalue
Ihor Potieria,missingvalue
Brad Tavares,Estadounidense
Gregory Rodrigues,Brasilero
Michael Johnson,missingvalue
Darrius Flowers,missingvalue
Rodolfo Vieira,Brasileño
Armen Petrosyan,RusoArmenio
Trevin Giles,Estadounidense
Carlos Prates,missingvalue
Bolaji Oki,missingvalue
Timmy Cuamba,missingvalue
Loma Lookboonmee,Tailandesa
Bruna Brasil,missingvalue
Devin Clark,Estadounidense
Marcin Prachnio,missingvalue
Max Griffin,missingvalue
Jeremiah Wells,Estadounidense
Zac Pauga,missingvalue
Bogdan Guskov,missingvalue
Fernie Garcia,missingvalue
Hyder Amil,missingvalue
Roman Dolidze,Georgiano
Nassourdine Imavov,Francesa
Renato Moicano,Brasileño
Drew Dober,Estadounidense
Randy Brown,Estadounidense
Muslim Salikhov,Rusa
Viviane Araujo,Brasileña
Natalia Silva,missingvalue
Gilbert Urbina,missingvalue
Charles Radtke,missingvalue
Molly McCann,Inglesa
Diana Belbita,missingvalue
Azat Maksum,missingvalue
Charles Johnson,Estadounidense
Themba Gorimbo,missingvalue
Pete Rodriguez,Estadounidense
JeongYeong Lee,missingvalue
Blake Bilder,missingvalue
Luana Carolina,Brasileña
