,date,r_fighter,b_fighter,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,time
0,2024-03-23 00:00:00,Rose Namajunas,Amanda Ribas,0.0,0.0,93.0,83.0,1.0,4.0,0.0,0.0,1,1,1,25.0
1,2024-03-23 00:00:00,Karl Williams,Justin Tafa,0.0,0.0,40.0,21.0,7.0,0.0,1.0,0.0,4,1,1,15.0
2,2024-03-23 00:00:00,Edmen Shahbazyan,AJ Dobson,1.0,0.0,27.0,15.0,1.0,0.0,0.0,0.0,3,2,1,4.0
3,2024-03-23 00:00:00,Payton Talbott,Cameron Saaiman,1.0,0.0,79.0,31.0,0.0,0.0,0.0,0.0,1,2,1,5.0
4,2024-03-23 00:00:00,Youssef Zalal,Billy Quarantillo,0.0,0.0,33.0,10.0,2.0,0.0,2.0,0.0,2,3,2,6.0
5,2024-03-23 00:00:00,Fernando Padilla,Luis Pajuelo,1.0,0.0,34.0,5.0,0.0,0.0,1.0,0.0,2,3,2,2.0
6,2024-03-23 00:00:00,Trey Ogden,Kurt Holobaugh,0.0,0.0,35.0,29.0,3.0,0.0,0.0,0.0,2,1,1,15.0
7,2024-03-23 00:00:00,Julian Erosa,Ricardo Ramos,0.0,0.0,4.0,7.0,0.0,2.0,1.0,0.0,2,3,2,2.0
8,2024-03-23 00:00:00,Miles Johns,Cody Gibson,0.0,0.0,25.0,18.0,2.0,1.0,0.0,0.0,1,1,1,15.0
9,2024-03-23 00:00:00,Jarno Errens,Steven Nguyen,1.0,0.0,105.0,63.0,0.0,1.0,0.0,0.0,2,1,1,15.0
10,2024-03-23 00:00:00,Daria Zhelezniakova,Montserrat Rendon,0.0,0.0,57.0,25.0,0.0,3.0,0.0,0.0,1,1,1,15.0
11,2024-03-23 00:00:00,Andre Lima,Igor Severino,0.0,0.0,30.0,36.0,1.0,5.0,2.0,0.0,1,4,3,7.0
12,2024-03-23 00:00:00,Mick Parkin,Mohammed Usman,0.0,0.0,72.0,57.0,0.0,0.0,0.0,0.0,4,1,1,15.0
13,2024-03-16 00:00:00,Marcin Tybura,Tai Tuivasa,0.0,0.0,27.0,15.0,1.0,0.0,1.0,0.0,4,3,2,4.0
14,2024-03-16 00:00:00,Ovince Saint Preux,Kennedy Nzechukwu,1.0,0.0,143.0,106.0,0.0,0.0,0.0,0.0,3,5,1,15.0
15,2024-03-16 00:00:00,Christian Rodriguez,Isaac Dulgarian,0.0,0.0,48.0,22.0,0.0,7.0,0.0,2.0,2,5,1,15.0
16,2024-03-16 00:00:00,Macy Chiasson,Pannie Kianzad,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,1,3,2,3.0
17,2024-03-16 00:00:00,Gerald Meerschaert,Bryan Barberena,0.0,0.0,11.0,12.0,3.0,0.0,2.0,0.0,3,3,2,9.0
