,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,time
6012,0.0,0.0,25.0,13.0,3.0,1.0,2.0,1.0,2,7.0
4452,1.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,2,2.0
2550,0.0,0.0,58.0,24.0,2.0,0.0,0.0,0.0,2,7.0
3855,0.0,0.0,39.0,4.0,1.0,0.0,0.0,0.0,3,4.0
6303,0.0,0.0,52.0,27.0,2.0,0.0,0.0,0.0,2,15.0
3325,0.0,0.0,15.0,6.0,0.0,1.0,1.0,0.0,1,5.0
2500,0.0,0.0,60.0,72.0,0.0,1.0,0.0,0.0,1,15.0
6725,2.0,0.0,44.0,40.0,0.0,0.0,0.0,0.0,2,15.0
3412,1.0,0.0,47.0,22.0,1.0,1.0,1.0,0.0,1,7.0
6975,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,2,1.0
7352,0.0,0.0,13.0,11.0,3.0,2.0,0.0,0.0,4,8.0
712,1.0,0.0,18.0,11.0,0.0,1.0,1.0,0.0,3,4.0
5759,0.0,0.0,59.0,6.0,8.0,0.0,4.0,0.0,2,15.0
2299,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2,0.0
4334,0.0,2.0,42.0,25.0,1.0,1.0,1.0,1.0,3,9.0
57,0.0,0.0,9.0,4.0,0.0,1.0,1.0,0.0,1,2.0
7438,0.0,0.0,1.0,6.0,1.0,0.0,3.0,1.0,4,3.0
4494,0.0,0.0,77.0,13.0,2.0,0.0,0.0,0.0,2,15.0
530,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,1,1.0
3049,0.0,0.0,60.0,45.0,1.0,0.0,0.0,0.0,2,15.0
5160,1.0,0.0,28.0,10.0,1.0,0.0,0.0,0.0,2,5.0
569,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,2,9.0
2039,0.0,0.0,55.0,12.0,0.0,0.0,3.0,0.0,2,8.0
3443,0.0,0.0,52.0,54.0,1.0,0.0,0.0,0.0,4,15.0
646,1.0,1.0,66.0,38.0,0.0,0.0,0.0,0.0,3,12.0
7004,0.0,0.0,5.0,5.0,0.0,1.0,1.0,2.0,3,3.0
6060,0.0,0.0,13.0,1.0,0.0,0.0,1.0,1.0,3,3.0
737,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2,2.0
5979,0.0,0.0,77.0,16.0,0.0,2.0,0.0,2.0,2,15.0
